stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,wheelchair_boarding
14079,4079,TAYLORSVILLE RD @ OLD TROY (KMART),Taylorsville Rd & Hwy 202,39.863029,-84.140174,,,,,0
14080,4080,TAYLORSVILLE RD @ DIAL DR,,39.863408,-84.145283,,,,,0
14081,4081,TAYLORSVILLE RD @ WILDCAT RD,,39.863536,-84.147911,,,,,0
14082,4082,TAYLORSVILLE RD @ TIMBERCREST DR,,39.863907,-84.154399,,,,,0
14083,4083,TIMBERCREST DR @ 7679 TIMBERCRES,,39.863125,-84.155377,,,,,0
14084,4084,TAYLORSVILLE RD @ PAST WILLOW CREEK,,39.863683,-84.15282,,,,,0
14090,4090,TROY ST @ KELLY AV,TROY ST & KELLY AVE,39.788414,-84.16889,,,,,0
14091,4091,TROY ST @ 1845 TROY ST,TROY ST & JERGENS RD,39.790076,-84.167066,,,,,0
14092,4092,TROY ST @ MIDBLOCK,TROY ST & JERGENS RD,39.791335,-84.165736,,,,,0
14093,4093,TROY ST @ JERGENS RD,,39.792639,-84.16436,,,,,0
14094,4094,OLD TROY PIKE @ EXECUTIVE BLVD,Old Troy Pike & Hwy 202,39.87275,-84.136857,,,,,0
14109,4109,TAYLORSVILLE RD @ KIRKVIEW DR,Taylorsville Rd & Waynetowne Blvd,39.86293,-84.141141,,,,,0
14110,4110,HARSHMANVILLE RD @ HEMINGWAY RD,Harshmanville Rd & Hemingway Rd,39.851301,-84.125846,,,,,0
14111,4111,HARSHMANVILLE RD @ INNSDALE PL,,39.849642,-84.125863,,,,,0
14113,4113,HARSHMANVILLE RD @ CHAMBERSBURG,,39.848024,-84.12942,,,,,0
14126,4126,OLD TROY PIKE @ POWELL RD,,39.834295,-84.140981,,,,,0
14127,4127,OLD TROY PIKE @ VITEX DR C,,39.831687,-84.142033,,,,,0
14128,4128,OLD TROY PIKE @ MURDOCK AV,,39.828148,-84.143468,,,,,0
14129,4129,OLD TROY PIKE @ KALIDA AV A/F,,39.822696,-84.145144,,,,,0
14131,4131,OLD TROY PIKE @ 4421 OLD TROY PI,,39.818061,-84.146333,,,,,0
14133,4133,OLD TROY PIKE @ SCHWINN DR,,39.812713,-84.147791,,,,,0
14134,4134,OLD TROY PIKE @ 3675 OLD TROY PI,,39.806993,-84.150681,,,,,0
14135,4135,OLD TROY PIKE @ BEATRICE DR,,39.802919,-84.153673,,,,,0
14136,4136,OLD TROY PIKE @ COMMUNITY DR,,39.799668,-84.157134,,,,,0
14137,4137,OLD TROY PIKE @ 2801 OLD TROY PI,OLD TROY PIKE & LAKEBEND DR,39.798221,-84.158652,,,,,0
14138,4138,OLD TROY PIKE @ 2607 OLD TROY PI,OLD TROY PIKE & VONDALE CT,39.796346,-84.160653,,,,,0
14139,4139,OLD TROY PIKE @ AVONDALE DR,TROY ST & AVONDALE DR,39.794854,-84.162277,,,,,0
14141,4141,TROY ST @ JERGENS RD,,39.792594,-84.164678,,,,,0
14142,4142,KUNTZ RD @ JERGENS RD,,39.793882,-84.167069,,,,,0
14144,4144,TROY ST @ 1845 TROY ST,TROY ST & JERGENS RD,39.78979,-84.167619,,,,,0
14145,4145,TROY ST @ KELLY AV,TROY ST & KELLY AVE,39.788137,-84.169432,,,,,0
14146,4146,TROY ST @ STANLEY AV,TROY ST & STANLEY AVE,39.786798,-84.170832,,,,,0
14147,4147,TROY ST @ GILES AV,,39.784606,-84.172981,,,,,0
14163,4163,OLD TROY PIKE @ EXECUTIVE BLVD,,39.872566,-84.137479,,,,,0
14174,4174,SHROYER RD @ FRIEDA LN,,39.685398,-84.163818,,,,,0
14177,4177,SHROYER RD @ OAKVIEW DR,,39.690192,-84.163228,,,,,0
14178,4178,SHROYER RD @ SCHUYLER DR,,39.692514,-84.163175,,,,,0
14179,4179,SHROYER RD @ STORMS RD,,39.694273,-84.162964,,,,,0
14180,4180,SHROYER RD @ LINCOLN PARK BLVD,,39.696421,-84.162835,,,,,0
14202,4202,SHROYER RD @ LINCOLN PARK DR,,39.697209,-84.162972,,,,,0
14204,4204,SHROYER RD @ STORMS RD,,39.694583,-84.163132,,,,,0
14205,4205,SHROYER RD @ SCHUYLER DR,,39.692833,-84.163246,,,,,0
14206,4206,SHROYER RD @ CARRLANDS DR,,39.691288,-84.163455,,,,,0
14208,4208,SHROYER RD @ LAMONT DR,,39.68816,-84.163563,,,,,0
14209,4209,SHROYER RD @ MOSSOAK DR,,39.687081,-84.16368,,,,,0
14210,4210,SHROYER RD @ FRIEDA LN,,39.685538,-84.163923,,,,,0
14232,4232,E STROOP RD @ MARSHALL RD,,39.688771,-84.143737,,,,,0
14233,4233,E STROOP RD @ BENFIELD DR,,39.68893,-84.146983,,,,,0
14234,4234,E STROOP RD @ MENGEL DR,,39.689024,-84.149572,,,,,0
14235,4235,E STROOP RD @ ACKERMAN BLVD,,39.689171,-84.15379,,,,,0
14236,4236,E STROOP RD @ MARICARR DR,,39.689336,-84.15759,,,,,0
14237,4237,E STROOP RD @ LEFEVRE DR,,39.6894,-84.159449,,,,,0
14238,4238,E STROOP RD @ SHROYER RD,,39.689492,-84.162016,,,,,0
14239,4239,E STROOP RD @ SOUTHMOOR CIR,,39.689634,-84.167044,,,,,0
14260,4260,PRESTIGE PLZ @ 31 PRESTIGE PLZ,Unnamed,39.637329,-84.228055,,,,,0
14261,4261,PRESTIGE PLZ @ PRESTIGE PL,,39.636456,-84.227216,,,,,0
14267,4267,LYONS RD @ SPRINGBORO PK,,39.628107,-84.224702,,,,,0
14268,4268,NEWMARK DR @ GANDER CREEK DR A/F,,39.625841,-84.215283,,,,,0
14269,4269,NEWMARK DR @ 3045 NEWMARK DR,,39.624925,-84.218636,,,,,0
14270,4270,NEWMARK DR @ 3131 NEWMARK DR,,39.624159,-84.220243,,,,,0
14271,4271,NEWMARK DR @ GANDER CREEK DR A/F,,39.622043,-84.221887,,,,,0
14272,4272,ARBORIDGE LN @ FOX GLOVE DR,,39.609018,-84.223083,,,,,0
14274,4274,MIAMI VILLAGE @ MIDBLOCK,,39.607705,-84.226459,,,,,0
14276,4276,SPRINGBORO PIKE @ FERNDOWN DR,,39.615418,-84.227159,,,,,0
14277,4277,SPRINGBORO PIKE @ STEEPLECHASE D,,39.617268,-84.226968,,,,,0
14306,4306,LOOP RD @ 5TH ST (GATE 1B),LOOP RD & MELWOOD AVE,39.789621,-84.098375,,,,,0
14307,4307,5TH ST @ C STREET,5TH ST & UNNAMED ST,39.789809,-84.097373,,,,,0
14315,4315,COMMUNICATIONS BLVD @ OKLAHOMA CITY,COMMUNICATIONS BLVD & F RD,39.797076,-84.051456,,,,,0
14316,4316,SAN ANTONIO @ A/F BLDG #280,Skeel Av & Hebble Creek Rd,39.800008,-84.048913,,,,,0
14328,4328,FAR HILLS AV @ W STROOP RD,Hwy 48 & E Stroop Rd,39.689961,-84.168801,,,,,0
14342,4342,W 5TH ST @ S LUDLOW ST,Hwy 4 & S Ludlow St,39.756414,-84.192296,,,,,0
14349,4349,WOODMAN DR @ WOODBINE AV,,39.735515,-84.121568,,,,,0
14356,4356,S MAIN ST @ STEWART ST,,39.740881,-84.186738,,,,,0
14359,4359,METROPOLITAN LIFE,,39.608959,-84.230234,,,,,0
14361,4361,STATE HWY 48 @ O.R EDGINGTON SCHOOL,,39.889439,-84.305216,,,,,0
15000,5000,RIVERVIEW AV @ SALEM AV,,39.762025,-84.205182,,,,,0
15020,5020,STATE RT 35 @ UNION RD,,39.746394,-84.308973,,,,,0
15055,5055,WOODMAN DR @ ARAGON AV,,39.710075,-84.123947,,,,,0
15060,5060,E 5TH ST @ JEFFERSON ST,E 5th St & S Jefferson St,39.757248,-84.188376,,,,,0
15068,5068,W STROOP RD @ DOGWOOD TRL,,39.691407,-84.190599,,,,,0
15069,5069,W STROOP RD @ BROOKDALE DR,,39.690622,-84.186303,,,,,0
